block,,splite,,cos
33,1.736842105,3,1.5,0.960692027
43,2.263157895,4,2,0.660756963
22,1.157894737,3,1.5,0.922122855
88,4.631578947,4,2,0.480932096
27,1.421052632,2,1,0.908617826
26,1.368421053,2,1,0.866400225
122,6.421052632,3,1.5,0.691735347
54,2.842105263,17,8.5,0.418709279
28,1.473684211,2,1,0.758426057
26,1.368421053,2,1,0.9260956
28,1.473684211,3,1.5,0.922138892
68,3.578947368,5,2.5,0.64180686
21,1.105263158,3,1.5,0.944809024
34,1.789473684,3,1.5,0.805626929
23,1.210526316,2,1,0.770207984
4,0.210526316,2,1,0.591607978
36,1.894736842,2,1,0.610197038
33,1.736842105,4,2,0.901497872
73,3.842105263,4,2,0.763360629
18,0.947368421,2,1,0.985610761
147,7.736842105,6,3,0.480765853
126,6.631578947,6,3,0.495609723
160,8.421052632,14,7,0.605318881
24,1.263157895,2,1,0.9141741
29,1.526315789,2,1,0.817662173
133,7,3,1.5,0.665434621
244,12.84210526,13,6.5,0.770514129
18,0.947368421,2,1,0.896421457
30,1.578947368,2,1,0.782074301
