block,,splite,,cos
43,2.263157895,4,2,0.660756963
26,1.368421053,2,1,0.866400225
25,1.315789474,2,1,0.876416746
37,1.947368421,2,1,0.65194448
25,1.315789474,2,1,0.876416746
30,1.578947368,2,1,0.782074301
48,2.526315789,2,1,0.767771896
72,3.789473684,3,1.5,0.653444706
19,1,2,1,0.971428571
23,1.210526316,2,1,0.852085923
50,2.631578947,4,2,0.893448784
48,2.526315789,3,1.5,0.894515919
75,3.947368421,4,2,0.753206095
28,1.473684211,1,0.5,0.1870552
75,3.947368421,4,2,0.785257419
75,3.947368421,4,2,0.785257419
75,3.947368421,4,2,0.785257419
926,48.73684211,41,20.5,0.726707701
73,3.842105263,4,2,0.578224662
36,1.894736842,3,1.5,0.740152746
27,1.421052632,2,1,0.820516151
50,2.631578947,3,1.5,0.780720058
30,1.578947368,2,1,0.848528137
30,1.578947368,2,1,0.848528137
91,4.789473684,4,2,0.572822491
25,1.315789474,2,1,0.838293244
402,21.15789474,13,6.5,0.543294501
40,2.105263158,3,1.5,0.793020799
142,7.473684211,7,3.5,0.739509973
132,6.947368421,8,4,0.563695042
52,2.736842105,3,1.5,0.768799968
145,7.631578947,5,2.5,0.553928224
45,2.368421053,2,1,0.806755483
27,1.421052632,2,1,0.820516151
160,8.421052632,7,3.5,0.672679279
31,1.631578947,2,1,0.874559669
19,1,2,1,0.971428571
19,1,2,1,0.971428571
33,1.736842105,3,1.5,0.842531397
87,4.578947368,7,3.5,0.526793791
47,2.473684211,6,3,0.95644156
48,2.526315789,3,1.5,0.49076688
294,15.47368421,16,8,0.505153248
525,27.63157895,11,5.5,0.397964966
46,2.421052632,3,1.5,0.883283916
136,7.157894737,15,7.5,0.754795726
88,4.631578947,3,1.5,0.372781561
88,4.631578947,3,1.5,0.372781561
108,5.684210526,3,1.5,0.499577881
8,0.421052632,4,2,0.756978119
45,2.368421053,5,2.5,0.752837199
100,5.263157895,4,2,0.37098489
30,1.578947368,2,1,0.872871561
34,1.789473684,2,1,0.864899964
92,4.842105263,3,1.5,0.662937672
18,0.947368421,2,1,0.901497872
55,2.894736842,4,2,0.692532128
37,1.947368421,2,1,0.744208408
28,1.473684211,3,1.5,0.781767686
28,1.473684211,3,1.5,0.794276763
34,1.789473684,2,1,0.684664248
34,1.789473684,2,1,0.684664248
28,1.473684211,5,2.5,0.909988361
36,1.894736842,3,1.5,0.753144668
18,0.947368421,2,1,0.985610761
118,6.210526316,7,3.5,0.41846671
62,3.263157895,4,2,0.633090492
93,4.894736842,9,4.5,0.49241768
27,1.421052632,2,1,0.942832754
20,1.052631579,2,1,0.957841489
39,2.052631579,3,1.5,0.764470787
53,2.789473684,2,1,0.770748767
31,1.631578947,2,1,0.731991894
35,1.842105263,2,1,0.751692768
37,1.947368421,3,1.5,0.722064009
40,2.105263158,3,1.5,0.910765111
30,1.578947368,2,1,0.896421457
85,4.473684211,8,4,0.771035584
89,4.684210526,3,1.5,0.864424631
25,1.315789474,2,1,0.93185537
29,1.526315789,2,1,0.893911819
397,20.89473684,10,5,0.418951951
223,11.73684211,8,4,0.754742416
114,6,18,9,0.531385405
70,3.684210526,4,2,0.900799882
37,1.947368421,2,1,0.787459311
43,2.263157895,3,1.5,0.871159001
80,4.210526316,3,1.5,0.919149153
49,2.578947368,2,1,0.745643719
81,4.263157895,3,1.5,0.839006112
23,1.210526316,2,1,0.930613859
50,2.631578947,3,1.5,0.930613859
62,3.263157895,3,1.5,0.72276418
108,5.684210526,3,1.5,0.632481199
45,2.368421053,2,1,0.674736483
118,6.210526316,7,3.5,0.631872355
99,5.210526316,5,2.5,0.615764425
92,4.842105263,4,2,0.774724734
63,3.315789474,2,1,0.829739814
65,3.421052632,5,2.5,0.634555354
59,3.105263158,4,2,0.763635927
55,2.894736842,4,2,0.868872128
42,2.210526316,3,1.5,0.944911183
50,2.631578947,3,1.5,0.930613859
61,3.210526316,3,1.5,0.807765956
118,6.210526316,6,3,0.609478125
34,1.789473684,2,1,0.856672074
31,1.631578947,2,1,0.909123767
60,3.157894737,4,2,0.709645772
71,3.736842105,5,2.5,0.571806876
133,7,4,2,0.636987156
50,2.631578947,4,2,0.84349391
56,2.947368421,2,1,0.674199862
73,3.842105263,5,2.5,0.598235355
88,4.631578947,5,2.5,0.718817976
67,3.526315789,3,1.5,0.648471451
61,3.210526316,2,1,0.806755483
170,8.947368421,4,2,0.368509007
153,8.052631579,11,5.5,0.958054521
144,7.578947368,9,4.5,0.927598814
92,4.842105263,3,1.5,0.879807612
74,3.894736842,2,1,0.822072729
60,3.157894737,3,1.5,0.831521841
61,3.210526316,5,2.5,0.593944172
206,10.84210526,9,4.5,0.747483463
392,20.63157895,13,6.5,0.720893852
32,1.684210526,2,1,0.845888852
46,2.421052632,3,1.5,0.935931599
21,1.105263158,2,1,0.92872692
81,4.263157895,9,4.5,0.87017351
79,4.157894737,2,1,0.450748936
223,11.73684211,14,7,0.418711332
59,3.105263158,3,1.5,0.562280402
25,1.315789474,2,1,0.949611106
40,2.105263158,3,1.5,0.950334619
34,1.789473684,2,1,0.743735744
65,3.421052632,3,1.5,0.684458557
95,5,5,2.5,0.604923113
84,4.421052632,5,2.5,0.661323422
71,3.736842105,4,2,0.685687152
73,3.842105263,4,2,0.692161827
73,3.842105263,4,2,0.683741936
27,1.421052632,2,1,0.828381276
22,1.157894737,2,1,0.912870929
360,18.94736842,26,13,0.875026557
33,1.736842105,2,1,0.600686892
131,6.894736842,4,2,0.430454516
25,1.315789474,4,2,0.893448784
25,1.315789474,4,2,0.893448784
25,1.315789474,4,2,0.893448784
25,1.315789474,4,2,0.893448784
46,2.421052632,5,2.5,0.469730249
18,0.947368421,2,1,0.957841489
18,0.947368421,2,1,0.957841489
18,0.947368421,2,1,0.957841489
20,1.052631579,2,1,0.938952956
222,11.68421053,9,4.5,0.438930667
120,6.315789474,7,3.5,0.641320735
158,8.315789474,5,2.5,0.819760771
81,4.263157895,3,1.5,0.712833689
24,1.263157895,2,1,0.932183199
24,1.263157895,2,1,0.932183199
92,4.842105263,6,3,0.661835648
13,0.684210526,1,0.5,0.392792202
77,4.052631579,2,1,0.750894236
809,42.57894737,19,9.5,0.471739287
