block,splite,cos
145,5,0.5557700143767285
19,2,0.9428571428571428
17,2,0.9710083124552245
131,4,0.5727989014118844
36,3,0.9336330661342157
80,3,0.3602396837837688
18,2,0.9566222088265397
37,2,0.6103417131433186
17,2,0.7061878636037996
21,2,0.8934487835701461
17,2,0.9710083124552245
17,2,0.9710083124552245
17,2,0.9710083124552245
17,2,0.9710083124552245
53,2,0.664854680386433
27,2,0.7358342140946685
38,2,0.8028965419920907
21,2,0.8136375599905377
18,5,0.9578414886923188
26,2,0.8565805033563155
17,2,0.9710083124552245
26,4,0.9500692495536145
19,2,1.0
73,6,0.8954816617012405
23,2,0.9473309334313418
20,2,0.9860132971832692
23,3,0.7922139266441908
19,2,1.0
68,4,0.559848093757821
39,3,0.6056772406043471
19,2,1.0
48,3,0.8461322884892528
19,2,1.0
34,3,0.8829187134416477
34,3,0.9902586757499068
28,2,0.7000624711815734
26,3,0.9570879353629509
64,4,0.9121610686310013
42,4,0.9445923635190943
159,8,0.8115260402715843
22,2,0.9683296637314885
25,3,0.7574097093298414
25,2,0.9089716762345905
32,3,0.9669875568304563
36,6,0.7234224493623685
29,2,0.85823175386454
45,3,0.7384147008606411
29,2,0.7516927675631332
37,2,0.6285648694397382
19,2,1.0
31,2,0.7100716024967263
19,3,1.0
21,2,0.9725975251592748
59,2,0.6946604864891638
25,3,0.7661997093507439
19,2,1.0
32,2,0.7655590023509526
19,2,1.0
21,2,0.9725975251592748
15,2,0.8919017444789034
48,4,0.4291975376394761
19,3,1.0
17,2,0.9710083124552245
19,2,1.0
97,7,0.7288445458978126
19,2,1.0
21,2,0.9473309334313418
21,2,0.9473309334313418
19,2,1.0
63,2,0.808322537328427
23,2,0.953747635118964
19,2,1.0
19,2,1.0
141,4,0.7785308429271389
22,2,0.9354143466934853
48,5,0.8332380897952963
55,4,0.977530650648601
74,3,0.6872846924289854
22,2,0.9354143466934853
120,4,0.44775879344835656
22,2,0.9597148699373932
20,2,0.9354143466934853
76,3,0.8519427513705972
29,2,0.7574763968621588
25,2,0.7337406559132839
62,2,0.5455447255899809
34,2,0.7008255578851517
26,2,0.8844691709074513
19,3,1.0
21,3,0.9202643353333034
19,2,1.0
144,10,0.61263747463298
340,25,0.990258675749907
19,2,1.0
29,2,0.9368640700305918
43,2,0.8821085542719541
19,3,1.0
20,2,0.9860132971832692
19,2,1.0
44,3,0.872278375988647
19,2,0.9428571428571428
21,2,0.8629489272626915
29,3,0.6122670268929316
110,5,0.8837313319814148
68,6,0.9902586757499068
19,2,1.0
33,2,0.8581241314849611
15,2,0.8783100656536799
19,2,1.0
39,5,0.6995143946692696
23,2,0.9323123667560939
19,2,1.0
19,3,0.8176621726430963
45,3,0.4264216025952326
65,4,0.9104889112787076
23,2,0.8063242090863514
32,2,0.6914756164453871
47,2,0.7349540668061921
19,2,1.0
19,2,1.0
21,2,0.9725975251592748
19,2,1.0
22,2,0.9128709291752769
33,2,0.8367680872418602
60,3,0.6054758337222673
20,7,0.9860132971832692
19,3,1.0
43,2,0.7750133431119842
54,3,0.8591733121344282
23,2,0.9658905768325904
22,2,0.9354143466934853
34,3,0.9902586757499068
33,2,0.7771305218356471
29,2,0.8587920641947091
19,2,1.0
37,3,0.9552229330896496
43,2,0.5989639087417165
43,3,0.4892257250211177
23,2,0.9658905768325904
46,3,0.7389522448494673
24,2,0.8664002254439634
128,10,0.5239190590743286
19,2,1.0
19,2,1.0
23,2,0.9519450934357727
19,2,1.0
142,7,0.4875603409162949
47,2,0.8107311536839202
56,7,0.7492140358574131
21,2,0.8136375599905377
46,2,0.8583325077599887
46,2,0.8857142857142857
19,2,1.0
25,2,0.9572688422609589
76,2,0.40414518843273806
75,3,0.8712794546282341
65,4,0.7736837677230682
23,2,0.9851020582472191
25,4,0.9519450934357727
66,4,0.862739901530949
42,2,0.9486832980505139
35,2,0.7186349921344791
44,3,0.9445923635190943
27,2,0.8704768470738238
19,2,1.0
20,2,0.9860132971832692
36,3,0.7708992893275451
58,2,0.7602927809613577
24,2,0.9128709291752769
42,3,0.7769985251430881
46,3,0.8607068760795468
19,2,1.0
26,2,0.9429080709444059
313,27,0.5825887515653648
21,2,0.8934487835701461
23,3,0.961571661806999
48,2,0.6522424151090044
21,2,0.9743975315293801
47,3,0.9019120678598667
33,3,0.9826511734639739
49,3,0.8760316958868393
17,2,0.971482785150266
24,2,0.9428473041596073
150,6,0.634313160964226
90,2,0.23392755632161016
19,2,1.0
37,2,0.751248226425348
20,2,0.9860132971832692
34,2,0.8882165115716839
154,11,0.9624045070981526
24,2,0.9660917830792958
62,4,0.7388685948612616
45,3,0.7026556529496953
23,3,0.7293476893416829
42,2,0.6180700462007377
19,2,1.0
23,2,0.9704311900788593
22,2,0.9086882225022429
26,2,0.9543780374797217
24,3,0.917364944587726
59,5,0.5300330790951305
20,2,0.991117008818872
26,5,0.9500692495536145
24,2,0.9570879353629509
20,2,0.9860132971832692
91,5,0.8274457286195198
19,2,1.0
392,31,0.9318650155483851
